Año Kilometraje Precio
2015 0 64,930
2015 0 64,85
2015 6500 60
2015 0 53,9
2015 0 52,95
2015 6000 52,8
2015 0 52,53
2015 6000 49,3
2015 1894 47
2015 1500 45,9
2015 14480 51
2014 17500 50
2014 18000 50
2014 24250 49
2014 14000 49
2014 25000 47
2014 19350 47
2014 23067 46
2014 10000 46
2014 15000 45,5
2014 13950 45
2014 28000 45
2014 20400 44
2014 12200 43
2014 26400 43
2014 40000 42
2014 9200 41
2014 15962 40,3
2014 18500 39
2014 22530 39
2014 25000 38,5
2014 26000 37,2
2013 7300 47
2013 18000 50
2013 45000 48,5
2013 21000 46,9
2013 10000 46
2013 16000 46
2013 45000 46
2013 38000 46
2013 44745 45
2013 47600 44,8
2013 34000 44
2013 33000 44
2013 26400 44
2013 43000 43,8
2013 42000 42
2013 25500 39,5
2013 31000 39,5
2013 33000 39
2013 17300 37,5
2013 46000 33,5
2013 29905 33
2012 25000 44,8
2012 34000 43,5
2012 16900 43,2
2012 62360 42,9
2012 25000 42,8
2012 44000 42,2
2012 43500 42
2012 41000 42
2012 41500 42
2012 58000 42
2012 24500 42
2012 60000 41,9
2012 45000 41,75
2012 33000 41,5
2012 33000 41,5
2012 24900 41
2012 55000 40,9
2012 61521 40,9
2012 63900 40,9
2012 38000 40,8
2012 60000 40,6
2012 32500 40,5
2012 49900 40,5
2012 40000 40,5
2012 26560 40,3
2012 37000 40
2012 48000 40
2012 38000 40
2012 53000 39,9
2012 50000 39,5
2012 40000 38,9
2012 4000 38
2012 56000 38
2012 26000 37,5
2012 34000 37,5
2012 45300 37
2012 30000 35,5
2012 43000 35,5
2012 44000 35,3
2012 48390 34,6
2012 65700 34,5
2012 30000 32,5
2012 49000 32
2012 43700 32
2012 65638 32
2012 54700 32
2012 61000 31,5
2012 57000 31
2012 54200 30,8
2011 20000 41,8
2011 32500 41
2011 43000 41
2011 72921 40,9
2011 42000 40
2011 50000 40
2011 44000 39,8
2011 38000 39,4
2011 64000 39
2011 42000 39
2011 72000 39
2011 48000 38
2011 38000 38,5
2011 74000 38,5
2011 70000 38,5
2011 35000 38
2011 57000 38
2011 41000 38
2011 55000 38
2011 45000 38
2011 62000 38
2011 45000 38
2011 45000 37,9
2011 36343 37,5
2011 30000 37
2011 40000 37
2011 42000 36,5
2011 41000 36,2
2011 85000 36
2011 42800 35,8
2011 54826 35,5
2011 57800 35
2011 49000 34,9
2011 53591 34,5
2011 63000 34,5
2011 42000 34
2011 93000 33,8
2011 50000 33,5
2011 43000 33
2011 61000 32,7
2011 60000 32,5
2011 29000 31,9
2011 62500 31,9
2011 58000 31
2011 47200 31
2011 74000 31
2011 41347 30,9
2011 38400 30,5
2011 58000 29,9
2011 70000 29
2011 45500 28,5
2011 46000 28,5
2011 25000 28,5
2011 37800 28
2011 52000 27,5
2011 106000 27
2011 57000 27
2010 69500 34
2010 47800 32,5
2010 70500 32,5
2010 38600 31,8
2010 45000 31
2010 40000 31
2010 37000 30,2
2010 34000 30
2010 20100 30
2010 65000 29
2010 90000 29
2010 90000 29
2010 44800 28,9
2010 60000 28,9
2010 37000 28,5
2010 47700 28,5
2010 54000 28,4
2010 40000 28
2010 54000 28
2010 61000 27,8
2010 44500 27,5
2010 53934 27,5
2010 58000 27
2010 63425 26,5
2010 55000 26,5
2010 107000 26,5
2010 50000 26,5
2010 86000 26,5
2009 84000 30
2009 74147 29
2009 55000 27
2009 97000 26,8
2009 80200 26,5
2009 102000 26,5
2009 93000 26,5
2009 94000 26,4
2009 79000 26
2009 62000 26
2009 75000 26
2009 77850 26
2009 1000 25,5
2008 42000 35
2008 98000 35
2008 45000 29
2008 74800 28
2008 47000 27,6
2008 48000 27,5
2008 76000 27
2008 88000 27
2008 107200 27
2008 78000 26,9
2008 37000 26,9
2008 60000 26
2008 48500 25,8
2007 83000 35
2007 100000 28
2007 41200 25,5
2007 86753 25
2007 90000 24
2007 77500 23,9
2007 109000 23,5
2007 170000 23,5
2007 103200 23
2007 61000 23
2007 80000 23
2007 96000 23
2007 61000 23
2007 93172 23
2006 80000 19,5
2006 203000 25
2006 48000 24
2006 93000 23,4
2006 101464 23
2006 99500 22,5
2006 156311 22,5
